QUESTION,BT LEVEL
 Can you distinguish for me between what is reasonably  achievable and what are  exaggerations,Analysis
List three characteristics that are unique to the Cubist movement.,Knowledge
Classify celebrations into family and community categories.,Comprehension
"Examine what helps to make a good Olympics? Think about money, schedules, sports and people.",Analysis
Identify ordinal positions,Knowledge
Identify fractions from a pictorial representation,Knowledge
Select the best title for a passage,Comprehension
Evaluate board games and justify why rules are important.,Evaluation
Organize this book into three or more sections and give your own subtitle for each section.,Synthesis
Explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.,Synthesis
Use the E-pH or Pourbaix diagram of Cr to determine the control current and potential for the anodic protection of a S43000 stainless steel vessel.  ,Comprehension
"By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",Analysis
Show how to modify Fitch's algorithm given in class today to accommodate non-binary,Application
Which of the two liquids is hypotonic ,Knowledge
Design a poster for this book.,Synthesis
Is there a better solution to . . .?,Evaluation
Relate the principle of reinforcement to classroom interactions.,Application
Compose a class story.,Synthesis
Describe what goes in each of the four areas on the first page of notes,Comprehension
Judge aesthetic qualities and relationship to future values.,Evaluation
Compare how different children come to school.,Analysis
Justify your choice of data structure.,Synthesis
"How do I differentiate between ""deceive"" and ""cheat on""?",Analysis
How did Chinese newspapers differ from US,Analysis
Label the parts of the following insects: Grasshopper,Knowledge
recall the supply voltage constraints,Knowledge
Can you differentiate between ethnic Chinese and ethnic Koreans,Analysis
What is the setting of To Kill a Mockingbird?,Knowledge
  Use the unification algorithm to determine whether the following two terms are uni_able. Show intermediate step,Application
Write a short story relating a personal experience in the style of a picaresque novel.,Synthesis
Predict the differences of a planet with no seasonal changes.,Synthesis
"If notes are available on the professor’s website, how should those notes be used?",Application
Are there students who should not use the Cornell method?,Evaluation
Create an equation to represent the solution to this problem.,Synthesis
When did you born ?,Knowledge
in which continent does the state of suriname fall,Knowledge
Revises and process to improve the outcome.,Synthesis
Why don’t you devise your own way to deal with . . .?,Synthesis
How do psychologists differ in their general attitudes toward third party presence,Analysis
Develop a plan for a new Olympic Bid System.,Synthesis
How does your pet differ from other animals?,Analysis
"If interest were compounded monthly instead of daily, what would the difference in interest be?",Analysis
Take a collection of photographs to demonstrate a particular point.,Application
Explain the whole method of crushing,Comprehension
Do you think . . . is a good or a bad thing?,Evaluation
how the investigation was undertaken,Analysis
Decide which method of solving a problem was most effective ,Evaluation
Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.,Evaluation
Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?,Evaluation
 How do we differentiate between an interview and an interrogation?,Analysis
How to construct simple solutions when problems are complex?,Application
